Student_ID,Study_Hours_Per_Week,Attendance_Rate,Assignment_Score,Quizzes_Score,Final_Score,Pass_Fail
STU_0252,2.1,51.5,42.7,47.8,66.5,Pass
STU_0586,9.0,60.9,45.5,51.7,57.9,Fail
STU_1569,9.8,76.2,86.7,74.5,61.3,Pass
STU_0825,15.7,76.6,52.7,58.7,62.0,Pass
STU_0508,11.8,67.2,82.4,100.0,78.5,Pass
STU_0890,10.8,86.1,58.7,43.6,69.1,Pass
STU_0071,7.1,69.7,83.9,77.7,73.5,Pass
STU_1609,1.5,66.0,59.3,82.8,48.3,Fail
STU_1533,18.3,79.1,78.2,42.5,73.1,Pass
STU_0248,20.0,95.4,84.1,71.7,81.7,Pass
STU_1451,7.7,88.7,32.9,81.1,66.6,Pass
STU_0213,4.6,44.8,59.4,42.3,56.5,Fail
STU_0910,5.2,76.0,78.6,83.7,67.3,Pass
STU_1742,19.2,76.9,78.9,93.9,73.3,Pass
STU_1245,9.4,80.5,51.7,60.0,60.0,Fail
STU_1697,8.3,90.2,87.2,71.8,64.7,Pass
STU_1183,6.5,66.4,61.2,56.0,70.6,Pass
STU_0362,4.1,44.8,31.6,56.6,50.5,Fail
STU_1474,9.5,86.4,79.1,70.4,74.3,Pass
STU_0679,4.1,63.7,58.0,73.8,52.3,Fail
STU_1622,9.7,75.1,86.1,84.6,82.2,Pass
STU_1090,7.5,82.0,52.3,74.1,66.2,Pass
STU_1988,8.3,47.2,40.9,47.8,55.4,Fail
STU_1848,23.2,100.0,100.0,66.2,78.4,Pass
STU_0988,8.3,68.2,82.6,73.0,62.9,Pass
STU_1513,14.6,98.9,77.9,72.7,77.0,Pass
STU_0112,10.6,73.8,79.4,85.1,55.2,Fail
STU_1488,8.9,73.4,85.8,94.9,67.1,Pass
STU_1454,12.9,62.0,66.3,77.1,57.9,Fail
STU_0384,6.8,53.8,60.3,73.3,56.3,Fail
STU_1396,1.8,52.7,41.1,68.9,53.7,Fail
STU_1055,3.8,56.7,42.5,78.0,57.9,Fail
STU_0756,11.3,90.6,71.5,48.9,66.3,Pass
STU_0325,6.1,77.5,81.6,59.7,59.5,Fail
STU_1624,3.6,46.2,47.8,39.4,48.7,Fail
STU_0788,16.2,98.3,100.0,77.4,80.9,Pass
STU_0369,2.3,54.7,50.5,54.3,57.0,Fail
STU_1820,8.2,84.4,78.0,59.8,69.9,Pass
STU_0070,25.0,87.5,97.5,54.6,72.0,Pass
STU_0858,13.7,75.0,62.4,59.2,75.1,Pass
STU_1484,4.3,58.2,42.5,49.1,46.1,Fail
STU_1556,6.9,62.3,36.5,55.7,62.7,Pass
STU_1692,6.2,66.6,72.8,56.8,55.6,Fail
STU_1475,10.5,72.2,59.0,76.6,57.9,Fail
STU_1799,4.5,77.5,55.0,46.8,60.9,Pass
STU_0479,9.2,75.3,55.3,88.8,65.1,Pass
STU_0282,4.2,72.4,52.6,73.0,58.0,Fail
STU_1648,3.6,83.8,78.3,36.8,66.6,Pass
STU_1557,7.7,80.1,70.5,58.4,67.7,Pass
STU_1730,11.2,75.4,90.1,52.9,71.5,Pass
STU_0211,6.7,54.7,67.9,64.2,65.1,Pass
STU_0298,8.2,77.0,91.5,75.2,65.5,Pass
STU_1885,4.1,55.9,37.3,24.5,37.0,Fail
STU_1834,17.9,80.4,84.0,86.5,78.1,Pass
STU_0652,10.4,75.1,75.5,52.3,68.1,Pass
STU_1234,10.3,73.5,97.0,93.4,67.7,Pass
STU_1503,9.7,52.3,58.1,78.3,61.4,Pass
STU_1932,3.1,39.7,61.5,47.1,45.4,Fail
STU_0917,7.6,66.5,79.7,39.7,60.8,Pass
STU_0994,0.7,40.0,51.0,39.8,53.1,Fail
STU_0430,5.4,71.8,63.3,48.3,58.0,Fail
STU_1371,5.8,63.8,100.0,78.5,70.3,Pass
STU_0240,11.5,84.5,73.8,68.3,65.9,Pass
STU_0880,15.6,94.1,75.0,100.0,83.0,Pass
STU_0621,2.5,46.1,50.5,34.9,52.1,Fail
STU_0257,2.2,74.9,66.0,86.0,55.4,Fail
STU_0612,0.6,58.3,44.4,54.3,45.3,Fail
STU_0545,6.9,80.0,92.4,70.0,58.5,Fail
STU_0772,5.6,72.2,38.4,51.4,57.4,Fail
STU_1420,6.6,72.5,83.1,81.3,60.0,Pass
STU_1042,1.9,59.8,58.9,42.7,52.6,Fail
STU_1790,10.4,49.1,75.3,88.5,66.6,Pass
STU_0760,5.4,44.4,75.4,64.1,63.2,Pass
STU_0383,5.6,59.3,73.6,89.3,57.6,Fail
STU_1104,9.1,75.8,57.3,71.4,68.9,Pass
STU_0974,12.2,100.0,97.1,88.1,78.6,Pass
STU_0353,17.8,99.0,67.1,48.1,73.3,Pass
STU_1606,4.2,53.5,70.5,64.0,45.7,Fail
STU_1826,12.1,90.7,81.3,66.7,76.4,Pass
STU_1037,13.6,88.4,68.0,94.5,68.9,Pass
STU_1108,7.3,65.8,46.8,80.1,59.1,Fail
STU_0495,20.4,100.0,100.0,78.1,77.9,Pass
STU_0394,5.7,83.9,87.2,54.5,60.9,Pass
STU_1547,9.3,54.3,59.0,38.1,58.1,Fail
STU_0465,9.0,78.0,62.5,60.2,65.0,Pass
STU_0887,1.0,62.7,23.8,62.7,70.8,Pass
STU_1194,12.1,83.6,74.4,90.3,57.3,Fail
STU_0367,6.1,58.2,67.7,85.5,58.4,Fail
STU_1894,10.7,82.3,76.1,63.1,67.1,Pass
STU_1874,3.6,66.9,56.0,57.7,58.0,Fail
STU_0745,7.9,78.8,59.3,69.0,75.1,Pass
STU_0530,8.7,49.0,50.4,70.0,62.0,Pass
STU_0803,6.8,73.3,34.2,71.2,51.2,Fail
STU_1224,1.3,30.3,25.4,56.6,39.4,Fail
STU_1979,9.8,87.6,65.4,52.5,69.4,Pass
STU_1906,7.3,93.2,67.2,74.2,73.2,Pass
STU_1700,7.0,83.9,81.0,72.7,60.8,Pass
STU_1545,11.5,83.5,82.1,76.7,73.9,Pass
STU_1314,8.2,58.4,64.4,68.2,57.7,Fail
STU_0307,11.1,73.1,77.8,35.6,49.7,Fail
STU_1667,12.2,70.6,83.2,75.6,66.1,Pass
STU_0863,4.0,54.0,51.1,25.8,51.7,Fail
STU_1567,6.4,55.5,54.0,55.9,44.3,Fail
STU_0531,5.0,57.1,65.9,55.2,49.6,Fail
STU_0655,6.6,59.5,80.8,59.0,60.9,Pass
STU_1260,22.1,98.9,100.0,92.2,83.1,Pass
STU_0234,16.6,94.8,88.2,96.7,73.7,Pass
STU_0121,4.4,66.1,46.2,46.5,51.9,Fail
STU_1698,10.4,81.0,55.0,24.9,58.5,Fail
STU_0950,15.6,85.3,91.3,100.0,71.3,Pass
STU_0618,10.6,68.9,93.1,61.1,76.3,Pass
STU_1179,10.0,60.8,99.1,85.6,53.0,Fail
STU_0308,2.4,68.0,69.6,46.8,48.8,Fail
STU_0136,5.9,43.3,48.1,59.3,48.1,Fail
STU_0555,5.1,67.4,59.1,34.7,54.3,Fail
STU_1674,8.4,61.6,64.5,91.9,60.2,Pass
STU_0584,9.0,70.6,68.8,89.7,71.8,Pass
STU_1641,5.4,70.7,62.7,29.7,53.2,Fail
STU_0671,12.3,79.7,59.1,67.2,59.4,Fail
STU_0835,19.3,100.0,100.0,75.2,74.3,Pass
STU_0110,4.5,65.2,46.7,34.2,51.3,Fail
STU_1165,8.4,68.3,61.5,77.0,47.1,Fail
STU_1960,10.3,81.3,56.0,83.6,63.3,Pass
STU_1465,3.6,63.2,71.7,56.7,59.1,Fail
STU_1729,14.3,67.5,61.9,69.4,79.9,Pass
STU_1243,11.3,88.8,80.4,65.8,81.1,Pass
STU_0212,9.7,62.0,57.0,34.0,47.0,Fail
STU_1768,6.1,76.1,75.4,72.0,70.2,Pass
STU_1121,12.3,92.2,97.9,100.0,88.4,Pass
STU_0680,6.9,43.4,73.6,41.4,57.8,Fail
STU_1951,8.2,55.8,52.1,40.8,55.7,Fail
STU_1839,9.8,86.0,65.6,52.4,45.2,Fail
STU_0412,8.6,75.8,49.2,100.0,64.3,Pass
STU_1325,6.3,75.7,52.4,59.6,59.8,Fail
STU_0783,14.3,64.7,71.5,67.2,63.8,Pass
STU_1346,2.8,70.4,55.4,39.9,53.2,Fail
STU_0875,7.9,79.8,63.6,74.6,57.4,Fail
STU_1653,4.2,59.3,66.8,72.5,49.1,Fail
STU_1279,3.8,61.7,72.5,63.1,66.6,Pass
STU_0786,23.9,100.0,100.0,48.9,71.9,Pass
STU_1819,6.9,48.8,54.1,39.6,44.4,Fail
STU_1199,8.8,80.9,82.7,79.3,74.4,Pass
STU_0808,10.8,60.6,80.6,84.5,61.3,Pass
STU_0713,1.7,49.1,47.0,79.6,58.8,Fail
STU_1991,6.6,50.4,51.1,41.5,52.8,Fail
STU_1660,5.5,45.1,56.9,40.8,51.4,Fail
STU_1191,8.1,57.1,75.5,84.9,53.9,Fail
STU_1226,2.9,47.5,20.7,67.3,50.7,Fail
STU_0603,11.6,83.8,89.8,83.4,69.6,Pass
STU_0271,5.0,53.9,52.6,7.7,51.6,Fail
STU_1385,14.5,74.1,100.0,63.8,79.7,Pass
STU_0232,15.3,74.0,74.6,81.0,78.4,Pass
STU_0050,9.9,79.1,54.5,62.8,70.6,Pass
STU_0463,4.4,52.1,76.3,38.4,49.9,Fail
STU_1106,11.6,85.3,80.7,70.5,69.8,Pass
STU_0856,8.0,78.1,79.6,42.7,55.2,Fail
STU_0694,15.8,71.4,81.9,100.0,70.1,Pass
STU_1552,4.9,54.3,77.2,73.2,57.0,Fail
STU_1873,4.1,59.8,47.3,65.2,55.5,Fail
STU_0527,8.9,91.9,66.8,53.5,63.7,Pass
STU_0174,5.4,63.5,67.1,73.6,58.6,Fail
STU_0721,4.9,59.9,56.8,48.0,56.5,Fail
STU_0415,2.2,55.7,38.2,51.9,43.4,Fail
STU_0238,8.2,84.6,42.4,88.5,60.1,Pass
STU_1473,11.9,76.2,95.9,70.2,66.7,Pass
STU_1336,17.4,100.0,75.6,80.9,64.3,Pass
STU_1064,5.4,71.1,55.3,71.8,55.2,Fail
STU_0024,9.0,73.8,93.8,1.0,75.9,Pass
STU_1767,7.5,62.4,82.6,24.9,66.3,Pass
STU_0064,10.1,82.0,71.8,63.1,69.1,Pass
STU_0290,4.5,64.1,63.4,65.3,49.4,Fail
STU_0189,7.4,46.5,67.0,80.4,55.4,Fail
STU_0702,3.0,64.7,50.4,22.9,43.9,Fail
STU_1815,9.9,81.3,68.4,41.1,61.1,Pass
STU_1138,16.7,53.7,96.0,69.7,69.2,Pass
STU_0355,3.7,52.0,54.4,30.7,63.4,Pass
STU_0417,7.1,51.4,57.3,84.9,65.1,Pass
STU_1246,23.3,100.0,98.6,100.0,86.6,Pass
STU_0931,10.3,79.8,29.9,58.6,57.0,Fail
STU_0197,7.3,73.8,62.1,68.3,50.2,Fail
STU_0580,5.2,60.1,56.1,73.1,57.7,Fail
STU_1135,7.1,68.0,68.0,68.8,58.2,Fail
STU_1814,9.6,69.1,76.2,60.5,57.0,Fail
STU_1935,8.3,79.7,69.5,84.1,65.5,Pass
STU_0434,10.7,59.6,74.1,58.0,68.2,Pass
STU_0101,13.7,99.6,60.6,73.3,70.4,Pass
STU_1655,15.0,96.4,68.6,78.8,66.7,Pass
STU_0395,10.6,100.0,100.0,71.7,67.1,Pass
STU_1939,15.1,100.0,97.4,58.2,71.6,Pass
STU_0221,4.8,69.9,99.7,90.1,59.2,Fail
STU_1676,7.3,73.2,84.4,50.9,57.4,Fail
STU_1498,9.8,100.0,41.1,64.5,64.5,Pass
STU_1785,8.9,59.2,59.1,54.9,61.8,Pass
STU_0345,5.8,75.0,63.2,59.5,62.2,Pass
STU_1028,13.2,79.4,75.7,56.8,71.7,Pass
STU_0889,8.3,65.3,80.4,68.1,58.1,Fail
STU_1351,3.2,69.7,49.7,66.7,34.3,Fail
STU_0553,9.0,79.9,60.9,56.8,58.4,Fail
STU_0744,8.0,56.0,42.4,84.2,56.6,Fail
STU_1542,6.0,66.1,80.3,79.8,71.5,Pass
STU_0539,12.0,69.4,89.6,87.1,71.7,Pass
STU_0907,22.9,100.0,80.8,73.6,74.8,Pass
STU_1395,8.1,73.8,61.5,64.3,57.1,Fail
STU_0116,7.6,59.1,53.6,81.5,66.4,Pass
STU_0830,10.0,51.6,87.9,67.9,65.5,Pass
STU_1938,1.5,46.4,37.8,38.0,47.4,Fail
STU_0809,6.3,55.0,61.4,77.8,63.6,Pass
STU_1311,2.6,64.6,53.8,37.7,42.6,Fail
STU_1005,4.9,68.8,81.2,95.4,59.7,Fail
STU_0306,5.2,40.0,32.5,39.3,46.0,Fail
STU_1101,5.4,46.2,30.4,95.4,64.6,Pass
STU_0480,13.9,88.2,94.6,93.0,76.2,Pass
STU_1424,3.3,67.0,56.4,34.6,48.1,Fail
STU_1076,10.4,70.3,28.7,99.0,52.8,Fail
STU_0571,6.8,59.3,62.6,70.2,59.5,Fail
STU_0619,8.4,76.9,60.6,77.8,75.4,Pass
STU_1898,9.0,81.4,59.0,91.6,69.8,Pass
STU_1266,2.8,58.8,27.9,20.2,42.0,Fail
STU_0079,2.6,65.2,64.8,38.1,55.1,Fail
STU_1912,16.9,100.0,82.7,100.0,75.1,Pass
STU_0033,5.1,46.3,51.4,43.8,52.5,Fail
STU_1538,3.6,50.8,25.0,57.6,43.0,Fail
STU_1034,10.4,96.6,76.0,84.6,74.1,Pass
STU_1563,11.3,100.0,85.6,85.8,77.2,Pass
STU_0352,2.1,45.9,84.1,48.5,47.9,Fail
STU_0164,4.1,64.2,38.5,64.5,60.4,Pass
STU_0204,2.8,52.0,15.2,41.2,52.4,Fail
STU_1054,2.3,57.3,79.7,41.5,48.6,Fail
STU_1365,7.9,79.2,44.1,49.4,73.0,Pass
STU_1967,2.0,54.1,64.5,46.7,45.7,Fail
STU_0496,5.4,40.5,57.7,71.9,61.8,Pass
STU_1625,5.7,62.0,40.1,82.8,61.0,Pass
STU_1966,3.5,66.5,39.0,54.2,61.3,Pass
STU_1963,4.1,48.7,59.9,63.5,63.0,Pass
STU_0611,12.4,44.9,64.6,100.0,66.8,Pass
STU_0433,14.4,100.0,84.6,35.6,77.3,Pass
STU_1492,12.9,100.0,75.9,46.1,80.9,Pass
STU_0219,10.7,77.2,36.3,78.0,58.4,Fail
STU_1931,8.9,57.3,28.9,61.6,71.3,Pass
STU_1466,11.3,75.0,76.5,64.9,75.8,Pass
STU_0631,12.2,84.3,70.5,69.4,37.1,Fail
STU_1382,3.3,75.8,69.8,86.0,63.5,Pass
STU_1302,10.2,83.3,69.5,65.6,67.8,Pass
STU_0060,9.3,75.9,91.7,100.0,70.2,Pass
STU_0299,4.6,35.1,42.4,77.2,79.4,Pass
STU_1711,7.6,77.2,54.4,67.9,56.5,Fail
STU_0074,12.3,72.0,59.1,74.6,64.9,Pass
STU_0163,2.8,50.0,51.9,55.6,50.1,Fail
STU_1275,9.8,66.3,96.6,60.0,68.7,Pass
STU_1594,3.7,53.9,49.4,50.1,44.8,Fail
STU_1434,4.0,51.2,30.5,86.1,48.0,Fail
STU_1613,16.9,88.3,85.8,100.0,81.5,Pass
STU_0592,10.3,71.7,82.5,64.6,73.7,Pass
STU_0317,17.3,100.0,72.8,100.0,52.4,Fail
STU_0046,18.4,100.0,92.5,97.2,77.6,Pass
STU_1720,11.0,67.3,91.5,76.3,56.1,Fail
STU_1832,8.1,56.2,59.4,59.5,64.5,Pass
STU_0428,10.8,70.1,57.1,93.8,64.0,Pass
STU_0582,11.5,70.3,77.9,68.7,64.6,Pass
STU_0077,4.1,74.5,51.2,76.1,55.5,Fail
STU_1917,3.2,52.2,43.6,89.3,65.0,Pass
STU_1415,10.2,54.1,77.3,75.8,62.7,Pass
STU_0781,2.4,48.0,39.2,83.7,75.8,Pass
STU_1920,18.6,66.1,71.7,93.9,68.4,Pass
STU_1174,17.4,100.0,83.4,59.8,82.8,Pass
STU_1320,4.5,47.3,49.8,29.7,46.7,Fail
STU_0938,9.0,86.2,73.4,49.8,68.2,Pass
STU_0031,9.7,88.6,76.6,46.5,73.0,Pass
STU_1092,10.5,79.3,62.6,41.4,68.7,Pass
STU_1616,25.0,100.0,87.3,89.4,80.5,Pass
STU_1230,2.4,45.6,29.0,55.6,48.8,Fail
STU_0975,11.4,67.8,67.8,87.0,65.1,Pass
STU_1085,23.1,100.0,100.0,90.4,76.0,Pass
STU_0515,11.6,95.3,58.2,65.2,57.7,Fail
STU_1551,7.0,59.3,53.6,51.7,57.0,Fail
STU_1568,9.6,73.8,37.2,59.9,69.3,Pass
STU_1811,10.4,53.2,72.4,57.3,59.0,Fail
STU_1574,5.3,38.3,54.4,55.7,45.6,Fail
STU_0045,7.8,66.7,66.4,82.1,71.5,Pass
STU_1687,2.6,51.6,74.0,43.4,55.6,Fail
STU_0169,3.3,59.6,63.5,40.0,57.1,Fail
STU_0304,8.5,78.2,77.8,86.2,80.3,Pass
STU_0991,9.2,66.3,70.4,26.2,57.3,Fail
STU_0556,20.5,100.0,100.0,79.3,82.2,Pass
STU_1925,0.5,59.0,53.0,70.5,35.5,Fail
STU_0608,9.3,67.4,64.7,85.1,69.5,Pass
STU_1619,7.8,83.4,70.7,85.6,81.6,Pass
STU_0758,8.8,72.2,67.7,72.8,64.5,Pass
STU_0439,5.0,53.2,73.1,38.4,51.9,Fail
STU_0583,16.3,72.3,67.0,68.4,87.4,Pass
STU_1519,2.9,44.9,23.0,68.4,42.0,Fail
STU_0528,6.0,60.5,44.4,58.4,59.3,Fail
STU_0343,5.9,72.8,47.0,73.5,53.9,Fail
STU_1737,3.6,61.3,62.7,31.7,57.3,Fail
STU_0368,4.0,52.7,68.0,95.1,59.1,Fail
STU_0186,16.3,81.5,68.9,87.2,72.6,Pass
STU_1117,10.8,83.9,68.3,100.0,75.2,Pass
STU_1755,5.0,42.1,68.1,82.7,51.5,Fail
STU_1426,10.3,72.9,80.5,71.9,71.0,Pass
STU_0301,4.3,62.5,23.2,69.5,53.0,Fail
STU_1904,6.2,77.7,51.2,62.8,64.2,Pass
STU_0833,7.0,84.0,48.2,70.8,64.0,Pass
STU_0544,5.1,62.7,50.3,70.7,52.9,Fail
STU_1601,6.6,55.4,55.9,59.9,64.6,Pass
STU_0351,21.2,98.7,100.0,100.0,72.7,Pass
STU_1933,6.0,56.0,73.9,79.2,65.0,Pass
STU_1511,16.4,81.9,68.7,81.4,74.6,Pass
STU_0979,20.8,100.0,100.0,100.0,90.2,Pass
STU_0176,13.3,93.0,56.8,87.0,72.9,Pass
STU_0483,10.0,81.9,79.0,86.9,70.2,Pass
STU_1413,9.9,69.8,80.1,82.1,61.3,Pass
STU_1611,5.8,54.3,85.2,15.4,61.5,Pass
STU_0124,3.6,43.2,37.4,31.6,50.1,Fail
STU_0600,14.3,77.2,94.8,87.1,66.1,Pass
STU_1795,3.9,48.8,49.6,34.0,44.6,Fail
STU_1746,16.4,100.0,100.0,97.2,94.7,Pass
STU_1379,10.7,65.5,60.4,62.4,68.0,Pass
STU_1186,4.0,60.3,38.8,70.1,63.1,Pass
STU_0486,5.3,61.4,65.5,46.0,53.0,Fail
STU_0332,8.1,69.5,48.5,73.9,59.7,Fail
STU_0789,18.3,67.4,88.5,56.0,75.5,Pass
STU_0195,4.4,48.4,62.0,59.3,40.9,Fail
STU_0638,3.9,66.0,52.0,50.2,64.3,Pass
STU_0472,6.0,62.2,69.1,43.6,51.9,Fail
STU_1714,9.7,70.5,60.3,83.2,65.2,Pass
STU_0323,7.3,51.2,68.3,68.1,61.2,Pass
STU_1197,8.5,100.0,80.6,48.1,75.2,Pass
STU_0267,7.5,64.3,42.4,45.9,51.7,Fail
STU_1544,11.5,88.8,71.2,100.0,78.7,Pass
STU_1804,21.5,100.0,94.9,100.0,84.0,Pass
STU_0068,7.9,74.0,53.2,59.7,65.0,Pass
STU_1738,6.7,66.6,72.7,69.5,72.6,Pass
STU_1593,5.6,66.7,64.9,59.8,43.2,Fail
STU_1564,5.6,53.7,69.2,64.0,56.5,Fail
STU_0481,7.0,53.2,73.6,62.5,62.4,Pass
STU_1757,7.5,64.7,56.4,64.5,61.1,Pass
STU_1913,10.5,84.7,97.5,66.1,75.5,Pass
STU_1441,7.8,84.8,49.3,72.1,63.1,Pass
STU_1461,7.1,81.3,46.0,62.0,60.1,Pass
STU_0888,13.2,89.1,86.3,65.0,71.6,Pass
STU_0423,10.5,76.6,69.6,64.8,68.3,Pass
STU_1675,9.8,77.6,75.0,79.9,66.1,Pass
STU_1450,4.7,53.5,42.5,82.7,54.3,Fail
STU_0765,2.7,53.8,32.6,63.2,38.6,Fail
STU_0520,9.0,88.7,56.5,83.8,74.6,Pass
STU_1432,10.1,79.9,70.9,81.7,73.4,Pass
STU_0614,3.7,46.1,37.1,78.3,58.6,Fail
STU_1531,6.5,47.2,46.1,58.9,53.0,Fail
STU_1783,12.0,65.2,74.5,43.7,59.1,Fail
STU_1659,9.9,67.4,66.1,74.8,75.9,Pass
STU_0454,3.8,68.7,75.4,55.6,56.4,Fail
STU_0731,4.7,63.7,72.4,44.9,67.5,Pass
STU_0535,7.7,80.7,54.5,73.7,68.2,Pass
STU_0966,11.8,67.8,60.1,70.9,59.8,Fail
STU_1285,5.9,49.9,37.9,28.1,55.0,Fail
STU_1740,9.3,75.9,74.2,87.4,75.9,Pass
STU_0262,4.2,43.4,45.6,50.7,52.6,Fail
STU_0536,2.8,59.5,57.1,56.1,43.0,Fail
STU_0969,7.4,56.5,60.2,56.6,59.7,Fail
STU_0241,8.6,85.7,70.7,71.6,66.3,Pass
STU_0820,12.2,75.8,77.9,41.6,59.0,Fail
STU_0693,6.6,91.7,67.4,60.3,75.0,Pass
STU_0421,4.1,54.4,72.6,52.0,49.5,Fail
STU_1086,4.3,48.1,56.8,78.7,49.2,Fail
STU_1999,8.4,63.2,48.9,72.4,54.7,Fail
STU_0366,7.3,75.0,76.4,39.9,45.3,Fail
STU_1023,9.4,74.3,78.3,59.7,65.3,Pass
STU_1241,8.0,81.1,64.0,76.0,64.3,Pass
STU_0589,10.8,77.0,68.7,99.3,60.7,Pass
STU_0737,8.4,61.9,57.0,66.2,65.2,Pass
STU_1762,8.5,71.8,87.4,60.5,64.5,Pass
STU_0942,16.3,84.2,70.0,71.6,71.4,Pass
STU_0072,9.6,100.0,62.2,56.2,66.9,Pass
STU_1408,11.0,76.9,66.9,72.5,65.8,Pass
STU_0260,7.6,63.4,48.2,65.2,54.9,Fail
STU_0052,5.8,70.0,64.4,29.2,58.6,Fail
STU_0199,5.5,67.7,58.5,63.3,57.0,Fail
STU_1789,13.3,100.0,85.9,39.7,70.1,Pass
STU_0651,18.8,100.0,77.5,100.0,74.7,Pass
STU_0333,19.3,100.0,100.0,100.0,78.8,Pass
STU_1360,15.2,72.0,91.6,79.8,71.8,Pass
STU_0594,8.6,65.4,60.7,71.1,64.4,Pass
STU_1392,4.8,35.4,24.7,52.4,45.4,Fail
STU_1801,6.1,49.3,65.0,78.6,64.8,Pass
STU_1315,11.9,67.5,77.9,53.4,63.8,Pass
STU_1112,4.8,56.3,44.7,37.7,39.5,Fail
STU_1007,6.1,65.1,33.1,60.2,63.1,Pass
STU_1327,3.9,44.6,69.8,53.5,47.8,Fail
STU_0427,3.2,57.1,61.6,49.9,56.9,Fail
STU_1559,3.4,57.1,63.6,52.5,51.5,Fail
STU_1294,2.7,73.1,55.1,51.1,41.7,Fail
STU_0591,19.8,100.0,100.0,100.0,82.7,Pass
STU_1958,10.6,56.4,74.5,65.3,74.1,Pass
STU_1977,3.7,59.6,61.0,66.2,57.8,Fail
STU_1133,4.8,74.1,68.3,55.5,53.1,Fail
STU_0986,7.5,61.7,55.7,85.5,56.5,Fail
STU_0399,15.1,94.5,69.4,83.0,71.8,Pass
STU_1512,10.0,75.9,48.4,60.2,61.9,Pass
STU_0437,8.6,63.4,60.2,9.0,64.4,Pass
STU_0193,12.5,79.5,56.0,66.4,63.7,Pass
STU_1436,4.4,41.7,54.6,72.4,66.7,Pass
STU_0615,3.2,46.1,87.0,45.6,50.6,Fail
STU_1494,5.0,64.3,77.4,89.2,69.0,Pass
STU_0577,17.0,87.3,100.0,49.2,67.7,Pass
STU_0987,7.2,59.0,64.2,60.3,56.8,Fail
STU_1433,8.0,69.3,95.6,68.7,68.5,Pass
STU_0707,5.5,78.2,43.7,78.5,64.4,Pass
STU_1259,11.9,53.5,70.7,63.0,76.4,Pass
STU_0142,1.6,26.2,46.1,53.6,46.0,Fail
STU_1358,9.8,86.9,86.9,67.5,79.1,Pass
STU_0003,6.9,80.1,56.1,49.7,67.6,Pass
STU_1222,7.1,62.7,42.6,77.0,62.1,Pass
STU_1870,5.4,60.2,70.2,61.3,62.7,Pass
STU_1623,6.1,66.6,96.5,36.1,70.2,Pass
STU_0340,6.0,70.4,63.8,64.9,60.4,Pass
STU_1770,12.4,70.2,69.5,85.5,67.9,Pass
STU_1537,9.2,81.4,89.0,79.5,76.2,Pass
STU_0484,8.8,63.7,42.8,78.0,58.0,Fail
STU_0266,4.7,48.5,41.1,67.6,51.0,Fail
STU_0377,6.8,59.6,81.6,52.2,65.1,Pass
